"id";"name";"abv";"breweryId";"beerstyleId"
"341";"Slaapmutske FLOSS";"5.0";"3422";"150"
"344";"We're Going Nuts";"6.0";"93801";"84"
"347";"Wanna Taste My Candy Cane?";"11.0";"269726";"15"
"350";"Mulata";"5.0";"197952";"282"
"353";"Naughty Badass Modder Fokker";"8.0";"333052";"3"
"356";"Komplott: Raspberry & Yuzu";"5.0";"135208";"177"
"359";"Midnight Bramble";"6.0";"1035";"573"
"362";"Boiling Point";"8.0";"135208";"111"
"365";"Cranachan Wee Heavy";"6.0";"2972";"144"
"368";"Special Edition #2";"8.0";"211447";"222"
"371";"White Ghost Berliner Weisse";"4.0";"255911";"27"
"374";"IPA";"5.0";"33211";"315"
"377";"Piemontese";"5.0";"127";"333"
"380";"San Miguel (5.0%)";"5.0";"148366";"243"
"383";"Pigs On Synthesizers";"6.0";"287279";"18"
"386";"Krachtig";"9.0";"15603";"15"
"389";"STOP'N'GO: DDH+Lupulin Powder";"7.0";"135208";"18"
"392";"Saison Sur Mer";"6.0";"212017";"153"
"395";"Black & Molen";"9.0";"308275";"594"
"398";"Oud Bruin Raspberry Harvest 2016";"6.0";"16719";"150"
"401";"Tijuana Bufadora Ambar";"7.0";"2739";"288"
"404";"Bintang Radler";"2.0";"2885";"267"
"407";"Barley Wine";"9.0";"84607";"138"
"410";"Dr. Raptor (2018)";"9.0";"32280";"117"
"413";"Opeth XXV Anniversary Imperial Stout";"9.0";"71828";"3"
"416";"Juicy Patrol";"8.0";"135208";"111"
"419";"Prachtig";"9.0";"15603";"369"
"422";"Brunehaut Ambrée Organic & Gluten Free";"6.0";"171";"429"
"425";"Barrel-Aged Ten FIDY Imperial Stout Aged In Bourbon Barrels (2017)";"12.0";"956";"30"
"428";"Cuvée De Mortagne Pedro Ximenez #1";"16.0";"2390";"597"
"431";"Bink Grand Cru / Winterkoninkske Grand Cru - American Oak Finish (2015)";"13.0";"286";"165"
"434";"Oso Golden Ale";"5.0";"29930";"285"
"437";"Oude Kriek Boon";"6.0";"268";"141"
